date,dimension,dimension_value,events,tokens,cost,contributors,success,quality_avg,latency_avg_ms
2026-05-22,platform,claude_code,18,797884889,6.981694,3,0,,
2026-05-22,provider,anthropic,18,797884889,6.981694,3,0,,
2026-05-22,total,all,18,797884889,6.981694,3,0,,
2026-05-22,use_case,coding,18,797884889,6.981694,3,0,,
2026-05-23,platform,claude_code,5,269959264,1.895955,3,0,,
2026-05-23,provider,anthropic,5,269959264,1.895955,3,0,,
2026-05-23,total,all,5,269959264,1.895955,3,0,,
2026-05-23,use_case,coding,5,269959264,1.895955,3,0,,
2026-06-02,platform,claude_code,27,1141505210,12.875252,3,0,,
2026-06-02,provider,anthropic,27,1141505210,12.875252,3,0,,
2026-06-02,total,all,27,1141505210,12.875252,3,0,,
2026-06-02,use_case,coding,27,1141505210,12.875252,3,0,,
2026-06-03,platform,claude_code,28,3271621140,28.617136,3,0,,
2026-06-03,provider,anthropic,28,3271621140,28.617136,3,0,,
2026-06-03,total,all,28,3271621140,28.617136,3,0,,
2026-06-03,use_case,coding,28,3271621140,28.617136,3,0,,
2026-06-04,platform,claude_code,20,1118180078,11.487678,3,0,,
2026-06-04,provider,anthropic,20,1118180078,11.487678,3,0,,
2026-06-04,total,all,20,1118180078,11.487678,3,0,,
2026-06-04,use_case,coding,20,1118180078,11.487678,3,0,,
2026-06-10,model,claude-sonnet-4-6,8,15593195,0.544773,3,0,,
2026-06-10,platform,claude_code,25,36261731,0.876016,3,0,,
2026-06-10,provider,anthropic,25,36261731,0.876016,3,0,,
2026-06-10,total,all,25,36261731,0.876016,3,0,,
2026-06-10,use_case,coding,25,36261731,0.876016,3,0,,
2026-06-11,model,claude-sonnet-4-6,7,2146499,0.141828,3,0,,
2026-06-11,platform,claude_code,21,317210903,5.144877,4,0,,
2026-06-11,provider,anthropic,21,317210903,5.144877,4,0,,
2026-06-11,total,all,21,317210903,5.144877,4,0,,
2026-06-11,use_case,coding,21,317210903,5.144877,4,0,,
2026-06-12,platform,claude_code,31,987114442,13.205184,3,0,,
2026-06-12,provider,anthropic,31,987114442,13.205184,3,0,,
2026-06-12,total,all,31,987114442,13.205184,3,0,,
2026-06-12,use_case,coding,31,987114442,13.205184,3,0,,
2026-06-15,platform,claude_code,29,1517108569,18.142152,3,0,,
2026-06-15,provider,anthropic,29,1517108569,18.142152,3,0,,
2026-06-15,total,all,29,1517108569,18.142152,3,0,,
2026-06-15,use_case,coding,29,1517108569,18.142152,3,0,,
2026-06-16,model,claude-opus-4-7,21,50896561,3.091808,3,0,,
2026-06-16,platform,claude_code,19,574949228,5.306715,4,0,,
2026-06-16,provider,anthropic,19,574949228,5.306715,4,0,,
2026-06-16,total,all,19,574949228,5.306715,4,0,,
2026-06-16,use_case,coding,19,574949228,5.306715,4,0,,
2026-06-17,platform,claude_code,16,13644668,0.738154,3,0,,
2026-06-17,provider,anthropic,16,13644668,0.738154,3,0,,
2026-06-17,total,all,16,13644668,0.738154,3,0,,
2026-06-17,use_case,coding,16,13644668,0.738154,3,0,,
2026-06-18,model,claude-opus-4-8,35,1899925281,25.689251,3,0,,
2026-06-18,platform,claude_code,24,870504556,6.152224,3,0,,
2026-06-18,provider,anthropic,24,870504556,6.152224,3,0,,
2026-06-18,total,all,24,870504556,6.152224,3,0,,
2026-06-18,use_case,coding,24,870504556,6.152224,3,0,,
2026-06-19,model,claude-opus-4-8,27,745635698,12.054257,3,0,,
2026-06-19,platform,claude_code,137,889010372,28.902657,3,0,,
2026-06-19,provider,anthropic,137,889010372,28.902657,3,0,,
2026-06-19,total,all,137,889010372,28.902657,3,0,,
2026-06-19,use_case,coding,137,889010372,28.902657,3,0,,
2026-06-20,model,claude-opus-4-8,12,3741179494,73.442048,3,0,,
2026-06-20,platform,claude_code,19,1873188122,36.873573,3,0,,
2026-06-20,provider,anthropic,19,1873188122,36.873573,3,0,,
2026-06-20,total,all,19,1873188122,36.873573,3,0,,
2026-06-20,use_case,coding,19,1873188122,36.873573,3,0,,
2026-06-21,platform,claude_code,6,4553370,0.147139,3,0,,
2026-06-21,provider,anthropic,6,4553370,0.147139,3,0,,
2026-06-21,total,all,6,4553370,0.147139,3,0,,
2026-06-21,use_case,coding,6,4553370,0.147139,3,0,,
2026-06-22,model,claude-opus-4-8,10,690034981,14.275598,3,0,,
2026-06-22,model,claude-sonnet-4-6,25,550410366,10.791977,3,0,,
2026-06-22,platform,claude_code,34,677767767,11.875887,3,0,,
2026-06-22,provider,anthropic,34,677767767,11.875887,3,0,,
2026-06-22,total,all,34,677767767,11.875887,3,0,,
2026-06-22,use_case,coding,34,677767767,11.875887,3,0,,
2026-06-23,model,claude-sonnet-4-6,26,222111988,6.384342,4,0,,
2026-06-23,platform,claude_code,49,271085910,7.573905,4,0,,
2026-06-23,provider,anthropic,49,271085910,7.573905,4,0,,
2026-06-23,total,all,49,271085910,7.573905,4,0,,
2026-06-23,use_case,coding,49,271085910,7.573905,4,0,,
2026-06-25,model,claude-sonnet-4-6,4,482140,0.027195,3,0,,
2026-06-25,platform,claude_code,25,13450180,0.91971,4,0,,
2026-06-25,provider,anthropic,25,13450180,0.91971,4,0,,
2026-06-25,total,all,25,13450180,0.91971,4,0,,
2026-06-25,use_case,coding,25,13450180,0.91971,4,0,,
