provider,model,input_per_mtok,output_per_mtok,cache_read_per_mtok,cache_write_per_mtok,reasoning_per_mtok,context_window,max_output,modality,effective_date,source,is_active
ai21,j2-light,3,3,0,0,0,8192,8192,text,2026-06-15,litellm,true
ai21,j2-mid,10,10,0,0,0,8192,8192,text,2026-06-15,litellm,true
ai21,j2-ultra,15,15,0,0,0,8192,8192,text,2026-06-15,litellm,true
ai21,jamba-1.5,0.2,0.4,0,0,0,256000,256000,text,2026-06-15,litellm,true
ai21,jamba-1.5-large,2,8,0,0,0,256000,256000,text,2026-06-15,litellm,true
ai21,jamba-1.5-large@001,2,8,0,0,0,256000,256000,text,2026-06-15,litellm,true
ai21,jamba-1.5-mini,0.2,0.4,0,0,0,256000,256000,text,2026-06-15,litellm,true
ai21,jamba-1.5-mini@001,0.2,0.4,0,0,0,256000,256000,text,2026-06-15,litellm,true
ai21,jamba-large-1.6,2,8,0,0,0,256000,256000,text,2026-06-15,litellm,true
ai21,jamba-large-1.7,2,8,0,0,0,256000,256000,text,2026-06-15,litellm,true
ai21,jamba-mini-1.6,0.2,0.4,0,0,0,256000,256000,text,2026-06-15,litellm,true
ai21,jamba-mini-1.7,0.2,0.4,0,0,0,256000,256000,text,2026-06-15,litellm,true
amazon_nova,amazon-nova/nova-lite-v1,0.06,0.24,0,0,0,300000,10000,text,2026-06-15,litellm,true
amazon_nova,amazon-nova/nova-micro-v1,0.035,0.14,0,0,0,128000,10000,text,2026-06-15,litellm,true
amazon_nova,amazon-nova/nova-premier-v1,2.5,12.5,0,0,0,1000000,10000,text,2026-06-15,litellm,true
amazon_nova,amazon-nova/nova-pro-v1,0.8,3.2,0,0,0,300000,10000,text,2026-06-15,litellm,true
anthropic,claude-3-5-haiku,0.8,4,0.08,1,0,200000,0,text,2026-06-15,seed,true
anthropic,claude-3-5-sonnet,3,15,0.3,3.75,0,200000,0,text,2026-06-15,seed,true
anthropic,claude-3-7-sonnet-20250219,3,15,0.3,3.75,0,200000,64000,text,2026-06-15,litellm,true
anthropic,claude-3-haiku-20240307,0.25,1.25,0.03,0.3,0,200000,4096,text,2026-06-15,litellm,true
anthropic,claude-3-opus-20240229,15,75,1.5,18.75,0,200000,4096,text,2026-06-15,litellm,true
anthropic,claude-4-opus-20250514,15,75,1.5,18.75,0,200000,32000,text,2026-06-15,litellm,true
anthropic,claude-4-sonnet-20250514,3,15,0.3,3.75,0,1000000,64000,text,2026-06-15,litellm,true
anthropic,claude-fable-5,10,50,1,12.5,0,1000000,128000,text,2026-06-15,litellm,true
anthropic,claude-haiku-4-5,1,5,0.1,1.25,0,200000,64000,text,2026-06-15,litellm,true
anthropic,claude-haiku-4-5-20251001,1,5,0.1,1.25,0,200000,64000,text,2026-06-15,litellm,true
anthropic,claude-opus-4-0,15,75,1.5,18.75,0,200000,0,text,2026-06-15,seed,true
anthropic,claude-opus-4-1,15,75,1.5,18.75,0,200000,32000,text,2026-06-15,litellm,true
anthropic,claude-opus-4-1-20250805,15,75,1.5,18.75,0,200000,32000,text,2026-06-15,litellm,true
anthropic,claude-opus-4-20250514,15,75,1.5,18.75,0,200000,32000,text,2026-06-15,litellm,true
anthropic,claude-opus-4-5,5,25,0.5,6.25,0,200000,64000,text,2026-06-15,litellm,true
anthropic,claude-opus-4-5-20251101,5,25,0.5,6.25,0,200000,64000,text,2026-06-15,litellm,true
anthropic,claude-opus-4-6,5,25,0.5,6.25,0,1000000,128000,text,2026-06-15,litellm,true
anthropic,claude-opus-4-6-20260205,5,25,0.5,6.25,0,1000000,128000,text,2026-06-15,litellm,true
anthropic,claude-opus-4-7,5,25,0.5,6.25,0,1000000,128000,text,2026-06-15,litellm,true
anthropic,claude-opus-4-7-20260416,5,25,0.5,6.25,0,1000000,128000,text,2026-06-15,litellm,true
anthropic,claude-opus-4-8,5,25,0.5,6.25,0,1000000,128000,text,2026-06-15,litellm,true
anthropic,claude-sonnet-4-0,3,15,0.3,3.75,0,200000,0,text,2026-06-15,seed,true
anthropic,claude-sonnet-4-20250514,3,15,0.3,3.75,0,1000000,64000,text,2026-06-15,litellm,true
anthropic,claude-sonnet-4-5,3,15,0.3,3.75,0,200000,64000,text,2026-06-15,litellm,true
anthropic,claude-sonnet-4-5-20250929,3,15,0.3,3.75,0,200000,64000,text,2026-06-15,litellm,true
anthropic,claude-sonnet-4-6,3,15,0.3,3.75,0,1000000,64000,text,2026-06-15,litellm,true
anyscale,anyscale/codellama/CodeLlama-34b-Instruct-hf,1,1,0,0,0,4096,4096,text,2026-06-15,litellm,true
anyscale,anyscale/codellama/CodeLlama-70b-Instruct-hf,1,1,0,0,0,4096,4096,text,2026-06-15,litellm,true
anyscale,anyscale/google/gemma-7b-it,0.15,0.15,0,0,0,8192,8192,text,2026-06-15,litellm,true
